sequence_id	library	term	gained_in_term	lost_in_term	gained_genes	lost_genes	corrected_log2_odds_ratio	p_value	q_within_screen	q_global_library
ABCA4_76f07d6ba67c1cf1	GO Molecular Function	protein homodimerization activity (GO:0042803)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Biological Process	magnesium ion transport (GO:0015693)	0	1		NIPA2	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Biological Process	host-mediated activation of viral genome replication (GO:0044829)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Biological Process	monoatomic ion transmembrane transport (GO:0034220)	0	1		ANO4	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Biological Process	chloride transmembrane transport (GO:1902476)	0	1		ANO4	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Biological Process	positive regulation of viral process (GO:0048524)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	Reactome	Transport of small molecules (R-HSA-382551)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	Reactome	Miscellaneous transport and binding events (R-HSA-5223345)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	GO Cellular Component	early endosome (GO:0005769)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	GO Cellular Component	membrane (GO:0016020)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Cellular Component	perinuclear region of cytoplasm (GO:0048471)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	0	1		ANO4	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	Reactome	Viral Infection Pathways (R-HSA-9824446)	0	1		ANO4	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	Reactome	Immune System (R-HSA-168256)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	Reactome	Late SARS-CoV-2 Infection Events (R-HSA-9772573)	0	1		ANO4	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	Reactome	Transport of small molecules (R-HSA-382551)	0	3		ANO4;NIPA2;STOM	-1.5849625007211563	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	KEGG	EFFEROCYTOSIS	0	1		ANO4	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Cellular Component	membrane (GO:0016020)	0	2		NIPA2;STOM	-0.7369655941662062	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Cellular Component	extracellular space (GO:0005615)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Cellular Component	tertiary granule membrane (GO:0070821)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76f07d6ba67c1cf1	GO Cellular Component	vesicle (GO:0031982)	0	1		STOM	0.28950661719498505	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	GO Cellular Component	plasma membrane (GO:0005886)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	GO Molecular Function	magnesium ion transmembrane transporter activity (GO:0015095)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	Reactome	SARS-CoV Infections (R-HSA-9679506)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Biological Process	chloride transport (GO:0006821)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Biological Process	mucus secretion (GO:0070254)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Biological Process	monoatomic ion transmembrane transport (GO:0034220)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Biological Process	chloride transmembrane transport (GO:1902476)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Biological Process	detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_7679d4a44698788d	Reactome	SARS-CoV Infections (R-HSA-9679506)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_7679d4a44698788d	Reactome	Ion channel transport (R-HSA-983712)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_7679d4a44698788d	Reactome	Infectious disease (R-HSA-5663205)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_7679d4a44698788d	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_7679d4a44698788d	Reactome	Viral Infection Pathways (R-HSA-9824446)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Molecular Function	chloride channel activity (GO:0005254)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Molecular Function	protein homodimerization activity (GO:0042803)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Molecular Function	iodide transmembrane transporter activity (GO:0015111)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Molecular Function	intracellularly calcium-gated chloride channel activity (GO:0005229)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	Reactome	Ion channel transport (R-HSA-983712)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	Reactome	Infectious disease (R-HSA-5663205)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	Reactome	Viral Infection Pathways (R-HSA-9824446)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Cellular Component	membrane (GO:0016020)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_76af0040e46ef2ee	GO Biological Process	magnesium ion transport (GO:0015693)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Cellular Component	apical plasma membrane (GO:0016324)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Cellular Component	extracellular exosome (GO:0070062)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Cellular Component	presynapse (GO:0098793)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Cellular Component	chloride channel complex (GO:0034707)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_768dea4cb468fa05	GO Molecular Function	metal ion binding (GO:0046872)	1	0	ANO1		-1.222392421336448	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	Reactome	SARS-CoV Infections (R-HSA-9679506)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_7596f303176bc66b	Reactome	Integration of energy metabolism (R-HSA-163685)	0	1		ABCC8	6.5494638194997705	1.0	1.0	1.0
