study_key	doi	planned_variant_count	assay_group	notes
garces_2021	https://doi.org/10.3390/ijms22010185	38	protein	Expression and ATPase measurements; preserve each assay scale separately.
sangermano_2018	https://doi.org/10.1101/gr.226621.117	47	splicing	Noncanonical splice variants; residual wild-type RNA and splice outcomes.
aslaksen_2024	https://doi.org/10.1167/iovs.65.10.2	10	protein	Functionally assessed missense VUS.
wang_2025	https://doi.org/10.1167/iovs.66.1.65	7	splicing	Deep-intronic variants with functional assessment.
